TICKER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SPLITS,EARNINGS,DIVIDENDS
SPY,20120330,400,140.66,140.66,140.66,140.66,2160,1,0,0
SPY,20120330,405,140.63,140.63,140.63,140.63,180,1,0,0
SPY,20120330,407,140.64,140.64,140.64,140.64,100,1,0,0
SPY,20120330,409,140.64,140.64,140.61,140.61,1110,1,0,0
SPY,20120330,410,140.58,140.58,140.58,140.58,100,1,0,0
SPY,20120330,420,140.51,140.51,140.51,140.51,500,1,0,0
SPY,20120330,440,140.7,140.7,140.7,140.7,900,1,0,0
SPY,20120330,443,140.72,140.73,140.72,140.73,2800,1,0,0
SPY,20120330,444,140.73,140.75,140.73,140.75,1900,1,0,0
SPY,20120330,455,140.78,140.78,140.78,140.78,300,1,0,0
SPY,20120330,456,140.78,140.78,140.78,140.78,790,1,0,0
SPY,20120330,505,140.72,140.72,140.72,140.72,400,1,0,0
SPY,20120330,523,140.76,140.76,140.76,140.76,800,1,0,0
SPY,20120330,524,140.76,140.76,140.76,140.76,1000,1,0,0
SPY,20120330,525,140.76,140.76,140.76,140.76,500,1,0,0
SPY,20120330,536,140.93,140.99,140.93,140.99,1300,1,0,0
SPY,20120330,538,141.01,141.01,141.01,141.01,300,1,0,0
SPY,20120330,542,140.98,140.98,140.98,140.98,100,1,0,0
SPY,20120330,553,140.98,140.98,140.98,140.98,200,1,0,0
SPY,20120330,554,141.01,141.01,141.01,141.01,100,1,0,0
SPY,20120330,556,141.01,141.01,141.01,141.01,100,1,0,0
SPY,20120330,559,141.01,141.01,141.01,141.01,3900,1,0,0
SPY,20120330,604,140.98,140.98,140.96,140.96,10000,1,0,0
SPY,20120330,613,140.93,140.93,140.93,140.93,1000,1,0,0
SPY,20120330,616,140.96,140.96,140.96,140.96,300,1,0,0
SPY,20120330,619,140.94,140.94,140.94,140.94,100,1,0,0
SPY,20120330,620,140.96,140.96,140.96,140.96,59000,1,0,0
SPY,20120330,621,140.96,140.96,140.96,140.96,21500,1,0,0
SPY,20120330,628,140.91,140.91,140.91,140.91,700,1,0,0
SPY,20120330,629,140.88,140.88,140.88,140.88,2000,1,0,0
SPY,20120330,630,140.91,140.91,140.91,140.91,400,1,0,0
SPY,20120330,634,140.83,140.83,140.83,140.83,300,1,0,0
SPY,20120330,636,140.88,140.88,140.88,140.88,2000,1,0,0
SPY,20120330,640,140.93,140.93,140.93,140.93,200,1,0,0
SPY,20120330,642,140.91,140.91,140.91,140.91,200,1,0,0
SPY,20120330,647,140.94,140.94,140.94,140.94,3000,1,0,0
SPY,20120330,648,140.96,140.96,140.94,140.94,17700,1,0,0
SPY,20120330,650,140.85,140.85,140.85,140.85,10100,1,0,0
SPY,20120330,651,140.89,140.89,140.89,140.89,300,1,0,0
SPY,20120330,652,140.86,140.86,140.86,140.86,5000,1,0,0
SPY,20120330,653,140.9,140.9,140.9,140.9,30000,1,0,0
SPY,20120330,654,140.93,140.93,140.93,140.93,1000,1,0,0
SPY,20120330,656,140.9,140.9,140.9,140.9,500,1,0,0
